Frame,Elapsed_Time(s),Centroide_X,Centroide_Y,Erro_X,Erro_Y,PID_Lateral_Output,PID_Vertical_Output
0,0.16,279,284,36.0,-39.0,36.00,-19.50
1,0.29,279,288,32.0,-39.0,32.00,-19.50
2,0.41,279,289,31.0,-39.0,31.00,-19.50
3,0.54,279,289,31.0,-39.0,31.00,-19.50
4,0.68,278,287,33.0,-38.0,33.00,-19.00
5,0.82,278,287,33.0,-38.0,33.00,-19.00
6,1.21,277,280,40.0,-37.0,40.00,-18.50
7,1.36,277,280,40.0,-37.0,40.00,-18.50
8,1.51,276,281,39.0,-36.0,39.00,-18.00
9,1.65,273,282,38.0,-33.0,38.00,-16.50
10,1.77,268,284,36.0,-28.0,36.00,-14.00
11,1.91,263,285,35.0,-23.0,35.00,-11.50
12,2.08,258,288,32.0,-18.0,32.00,-9.00
13,2.21,252,291,29.0,-12.0,29.00,-6.00
14,2.34,246,294,26.0,-6.0,26.00,-3.00
15,2.46,241,297,23.0,-1.0,23.00,-0.50
16,2.57,245,293,27.0,-5.0,27.00,-2.50
17,2.70,242,296,24.0,-2.0,24.00,-1.00
18,2.82,241,299,21.0,-1.0,21.00,-0.50
19,2.97,240,301,19.0,0.0,19.00,0.00
20,3.50,240,301,19.0,0.0,19.00,0.00
21,3.70,249,321,-1.0,-9.0,-1.00,-4.50
22,3.95,250,323,-3.0,-10.0,-3.00,-5.00
23,4.11,255,318,2.0,-15.0,2.00,-7.50
24,4.25,258,317,3.0,-18.0,3.00,-9.00
25,4.41,259,317,3.0,-19.0,3.00,-9.50
26,4.56,259,314,6.0,-19.0,6.00,-9.50
27,4.73,256,312,8.0,-16.0,8.00,-8.00
28,4.87,252,311,9.0,-12.0,9.00,-6.00
29,5.03,246,307,13.0,-6.0,13.00,-3.00
30,5.18,242,303,17.0,-2.0,17.00,-1.00
31,5.33,237,300,20.0,3.0,20.00,1.50
32,5.46,235,297,23.0,5.0,23.00,2.50
33,5.61,241,287,33.0,-1.0,33.00,-0.50
34,6.17,241,287,33.0,-1.0,33.00,-0.50
35,6.50,228,270,50.0,12.0,50.00,6.00
36,6.92,228,269,51.0,12.0,51.00,6.00
37,7.10,224,266,54.0,16.0,54.00,8.00
38,7.23,226,264,56.0,14.0,56.00,7.00
39,7.40,224,262,58.0,16.0,58.00,8.00
40,7.54,227,262,58.0,13.0,58.00,6.50
41,7.69,231,262,58.0,9.0,58.00,4.50
42,7.83,229,261,59.0,11.0,59.00,5.50
43,7.96,235,261,59.0,5.0,59.00,2.50
44,8.12,291,9,311.0,-51.0,311.00,-25.50
45,8.28,241,263,57.0,-1.0,57.00,-0.50
46,8.44,291,9,311.0,-51.0,311.00,-25.50
47,8.59,291,9,311.0,-51.0,311.00,-25.50
48,8.73,291,9,311.0,-51.0,311.00,-25.50
49,8.85,291,9,311.0,-51.0,311.00,-25.50
50,8.97,291,9,311.0,-51.0,311.00,-25.50
51,9.10,291,9,311.0,-51.0,311.00,-25.50
52,9.21,291,9,311.0,-51.0,311.00,-25.50
53,9.35,291,9,311.0,-51.0,311.00,-25.50
54,9.51,291,9,311.0,-51.0,311.00,-25.50
55,9.65,291,9,311.0,-51.0,311.00,-25.50
56,9.77,291,9,311.0,-51.0,311.00,-25.50
57,9.89,291,9,311.0,-51.0,311.00,-25.50
58,10.01,291,9,311.0,-51.0,311.00,-25.50
59,10.15,291,9,311.0,-51.0,311.00,-25.50
60,10.34,291,9,311.0,-51.0,311.00,-25.50
61,10.45,291,9,311.0,-51.0,311.00,-25.50
62,10.57,291,9,311.0,-51.0,311.00,-25.50
63,10.72,291,9,311.0,-51.0,311.00,-25.50
64,10.86,291,9,311.0,-51.0,311.00,-25.50
65,11.03,291,9,311.0,-51.0,311.00,-25.50
66,11.18,291,9,311.0,-51.0,311.00,-25.50
67,11.33,200,278,42.0,40.0,42.00,20.00
68,11.52,194,270,50.0,46.0,50.00,23.00
69,11.70,183,258,62.0,57.0,62.00,28.50
