Frame,Elapsed_Time(s),Centroide_X,Centroide_Y,Erro_X,Erro_Y,PID_Lateral_Output,PID_Vertical_Output
0,0.17,57,574,-254.0,183.0,-221.95,159.92
1,0.30,63,575,-255.0,177.0,-205.57,132.20
2,0.83,63,575,-255.0,177.0,-204.00,141.60
3,1.18,127,614,-294.0,113.0,-257.49,53.82
4,1.37,127,615,-295.0,113.0,-237.09,90.40
5,1.55,128,615,-295.0,112.0,-236.00,88.51
6,1.68,127,613,-293.0,113.0,-231.35,91.93
7,1.83,126,614,-294.0,114.0,-236.57,92.57
8,1.98,131,617,-297.0,109.0,-241.53,80.65
9,2.11,103,594,-274.0,137.0,-183.96,152.50
10,2.26,121,605,-285.0,119.0,-242.98,70.68
11,2.38,143,616,-296.0,97.0,-254.93,41.34
12,2.93,143,616,-296.0,97.0,-236.80,77.60
119,18.89,7,396,-76.0,233.0,-58.04,188.10
120,19.01,9,356,-36.0,231.0,39.15,181.40
121,19.15,11,347,-27.0,229.0,-8.67,180.33
122,19.33,13,336,-16.0,227.0,-0.60,179.38
123,19.45,12,310,10.0,228.0,49.66,184.00
124,19.57,7,397,-77.0,233.0,-207.70,194.80
127,19.94,248,633,-313.0,-8.0,-378.93,-137.65
128,20.07,235,629,-309.0,5.0,-241.08,23.88
129,20.19,222,627,-307.0,18.0,-242.38,35.33
130,20.32,94,631,-311.0,146.0,-255.34,326.19
131,20.44,89,627,-307.0,151.0,-239.01,129.04
132,20.56,82,629,-309.0,158.0,-250.40,137.60
133,20.68,89,630,-310.0,151.0,-249.66,109.16
134,20.81,105,633,-313.0,135.0,-255.26,82.07
135,20.91,113,632,-312.0,127.0,-247.69,86.31
136,21.05,128,625,-305.0,112.0,-233.59,67.29
150,23.47,3,157,163.0,237.0,169.01,199.91
151,23.72,117,412,-92.0,123.0,-278.29,6.89
153,23.97,57,397,-77.0,183.0,-49.59,194.44
163,25.65,43,326,-6.0,197.0,3.63,159.26
169,26.51,14,376,-56.0,226.0,-56.47,187.57
170,26.63,48,332,-12.0,192.0,63.03,97.48
171,26.76,36,334,-14.0,204.0,-14.29,181.75
