Frame,Elapsed_Time(s),Centroide_X,Centroide_Y,Erro_X,Erro_Y,PID_Lateral_Output,PID_Vertical_Output
0,0.46,246,311,9.0,-6.0,7.20,-4.80
1,0.61,246,311,9.0,-6.0,7.20,-4.80
2,1.14,246,311,9.0,-6.0,7.20,-4.80
3,1.66,305,490,-170.0,-65.0,-136.00,-52.00
4,1.85,303,493,-173.0,-63.0,-138.40,-50.40
5,2.01,270,506,-186.0,-30.0,-148.80,-24.00
6,2.13,353,405,-85.0,-113.0,-68.00,-90.40
7,2.28,294,512,-192.0,-54.0,-153.60,-43.20
8,2.42,305,514,-194.0,-65.0,-155.20,-52.00
9,2.58,329,534,-214.0,-89.0,-171.20,-71.20
10,2.73,345,525,-205.0,-105.0,-164.00,-84.00
11,2.86,457,473,-153.0,-217.0,-122.40,-173.60
53,9.33,429,358,-38.0,-189.0,-30.40,-151.20
54,9.47,326,354,-34.0,-86.0,-27.20,-68.80
55,9.60,330,282,38.0,-90.0,30.40,-72.00
56,9.70,341,292,28.0,-101.0,22.40,-80.80
57,9.84,337,293,27.0,-97.0,21.60,-77.60
58,9.95,331,286,34.0,-91.0,27.20,-72.80
59,10.07,299,276,44.0,-59.0,35.20,-47.20
60,10.20,281,271,49.0,-41.0,39.20,-32.80
61,10.32,263,263,57.0,-23.0,45.60,-18.40
62,10.46,297,260,60.0,-57.0,48.00,-45.60
63,10.57,323,264,56.0,-83.0,44.80,-66.40
64,10.69,366,255,65.0,-126.0,52.00,-100.80
65,10.80,366,258,62.0,-126.0,49.60,-100.80
66,10.89,359,262,58.0,-119.0,46.40,-95.20
67,11.03,367,268,52.0,-127.0,41.60,-101.60
68,11.15,368,267,53.0,-128.0,42.40,-102.40
69,11.29,361,262,58.0,-121.0,46.40,-96.80
70,11.45,340,401,-81.0,-100.0,-64.80,-80.00
71,11.58,420,451,-131.0,-180.0,-104.80,-144.00
72,11.88,454,424,-104.0,-214.0,-83.20,-171.20
73,12.10,453,422,-102.0,-213.0,-81.60,-170.40
74,12.25,446,412,-92.0,-206.0,-73.60,-164.80
75,12.37,437,409,-89.0,-197.0,-71.20,-157.60
76,12.50,438,406,-86.0,-198.0,-68.80,-158.40
77,12.66,448,403,-83.0,-208.0,-66.40,-166.40
78,12.81,449,398,-78.0,-209.0,-62.40,-167.20
79,12.96,459,397,-77.0,-219.0,-61.60,-175.20
80,13.07,466,397,-77.0,-226.0,-61.60,-180.80
81,13.21,456,402,-82.0,-216.0,-65.60,-172.80
82,13.37,454,396,-76.0,-214.0,-60.80,-171.20
83,13.52,462,390,-70.0,-222.0,-56.00,-177.60
84,13.68,474,379,-59.0,-234.0,-47.20,-187.20
91,14.70,2,261,59.0,238.0,47.20,190.40
92,14.83,8,63,257.0,232.0,205.60,185.60
96,15.62,425,410,-90.0,-185.0,-72.00,-148.00
97,15.83,422,411,-91.0,-182.0,-72.80,-145.60
98,15.98,417,416,-96.0,-177.0,-76.80,-141.60
99,16.09,417,419,-99.0,-177.0,-79.20,-141.60
100,16.24,420,421,-101.0,-180.0,-80.80,-144.00
101,16.38,426,423,-103.0,-186.0,-82.40,-148.80
102,16.51,431,424,-104.0,-191.0,-83.20,-152.80
103,16.67,437,426,-106.0,-197.0,-84.80,-157.60
104,16.83,438,428,-108.0,-198.0,-86.40,-158.40
105,16.97,435,430,-110.0,-195.0,-88.00,-156.00
106,17.09,430,436,-116.0,-190.0,-92.80,-152.00
107,17.26,417,444,-124.0,-177.0,-99.20,-141.60
108,17.39,403,447,-127.0,-163.0,-101.60,-130.40
109,17.53,394,456,-136.0,-154.0,-108.80,-123.20
110,17.69,379,463,-143.0,-139.0,-114.40,-111.20
111,17.84,365,470,-150.0,-125.0,-120.00,-100.00
112,18.00,351,476,-156.0,-111.0,-124.80,-88.80
113,18.13,334,479,-159.0,-94.0,-127.20,-75.20
114,18.24,338,491,-171.0,-98.0,-136.80,-78.40
115,18.37,335,497,-177.0,-95.0,-141.60,-76.00
116,18.48,331,500,-180.0,-91.0,-144.00,-72.80
117,18.61,330,507,-187.0,-90.0,-149.60,-72.00
118,18.75,326,510,-190.0,-86.0,-152.00,-68.80
119,18.95,321,514,-194.0,-81.0,-155.20,-64.80
120,19.08,321,525,-205.0,-81.0,-164.00,-64.80
121,19.20,319,531,-211.0,-79.0,-168.80,-63.20
122,19.33,318,537,-217.0,-78.0,-173.60,-62.40
123,19.45,314,542,-222.0,-74.0,-177.60,-59.20
124,19.56,310,556,-236.0,-70.0,-188.80,-56.00
125,19.70,307,560,-240.0,-67.0,-192.00,-53.60
126,19.82,302,565,-245.0,-62.0,-196.00,-49.60
127,19.94,296,568,-248.0,-56.0,-198.40,-44.80
128,20.07,291,571,-251.0,-51.0,-200.80,-40.80
129,20.18,288,575,-255.0,-48.0,-204.00,-38.40
130,20.33,277,575,-255.0,-37.0,-204.00,-29.60
131,20.44,261,572,-252.0,-21.0,-201.60,-16.80
132,20.58,210,558,-238.0,30.0,-190.40,24.00
133,20.72,196,556,-236.0,44.0,-188.80,35.20
134,20.86,294,331,-11.0,-54.0,-8.80,-43.20
135,21.01,292,333,-13.0,-52.0,-10.40,-41.60
136,21.12,288,335,-15.0,-48.0,-12.00,-38.40
137,21.26,288,337,-17.0,-48.0,-13.60,-38.40
138,21.39,285,340,-20.0,-45.0,-16.00,-36.00
