Frame,Elapsed_Time(s),Centroide_X,Centroide_Y,Erro_X,Erro_Y,PID_Lateral_Output,PID_Vertical_Output
0,0.17,182,333,-13,58,-13,29
1,0.29,186,334,-14,54,-14,27
2,0.46,186,336,-16,54,-16,27
3,0.62,181,328,-8,59,-8,29.5
4,0.76,180,329,-9,60,-9,30
5,0.91,179,326,-6,61,-6,30.5
6,1.03,180,327,-7,60,-7,30
7,1.16,180,329,-9,60,-9,30
8,1.29,177,325,-5,63,-5,31.5
9,1.48,226,369,-49,14,-49,7
14,2.14,48,477,-157,192,-157,96
15,2.27,174,610,-290,66,-290,33
16,2.41,318,585,-265,-78,-265,-39
17,2.55,297,522,-202,-57,-202,-28.5
18,2.68,281,434,-114,-41,-114,-20.5
19,2.81,249,437,-117,-9,-117,-4.5
20,2.97,215,600,-280,25,-280,12.5
21,3.13,72,560,-240,168,-240,84
27,3.94,168,61,259,72,259,36
28,4.06,243,82,238,-3,238,-1.5
29,4.17,323,77,243,-83,243,-41.5
30,4.4,340,78,242,-100,242,-50
31,4.94,340,78,242,-100,242,-50
32,5.12,55,369,-49,185,-49,92.5
33,5.29,29,400,-80,211,-80,105.5
34,5.44,28,464,-144,212,-144,106
35,5.61,18,618,-298,222,-298,111
36,5.74,149,446,-126,91,-126,45.5
37,5.9,89,610,-290,151,-290,75.5
38,6.09,69,617,-297,171,-297,85.5
39,6.62,69,617,-297,171,-297,85.5
40,6.96,268,543,-223,-28,-223,-14
41,7.17,253,471,-151,-13,-151,-6.5
42,7.3,250,471,-151,-10,-151,-5
43,7.45,247,513,-193,-7,-193,-3.5
44,7.6,260,490,-170,-20,-170,-10
45,7.76,230,528,-208,10,-208,5
46,7.91,175,437,-117,65,-117,32.5
47,8.06,68,422,-102,172,-102,86
48,8.19,125,154,166,115,166,57.5
51,9.25,72,198,122,168,122,84
52,9.38,254,9,311,-14,311,-7
53,9.52,94,409,-89,146,-89,73
54,9.67,58,98,222,182,222,91
55,9.85,279,467,-147,-39,-147,-19.5
56,9.97,194,566,-246,46,-246,23
57,10.13,432,100,220,-192,220,-96
58,10.3,90,619,-299,150,-299,75
59,10.46,54,563,-243,186,-243,93
60,10.58,162,26,294,78,294,39
61,10.7,79,12,308,161,308,80.5
65,11.25,141,626,-306,99,-306,49.5
70,11.89,212,635,-315,28,-315,14
72,12.2,225,556,-236,15,-236,7.5
76,12.75,180,630,-310,60,-310,30
77,13.28,180,630,-310,60,-310,30
78,13.47,183,618,-298,57,-298,28.5
79,13.73,180,637,-317,60,-317,30
80,13.9,180,637,-317,60,-317,30
82,14.19,250,576,-256,-10,-256,-5
83,14.31,252,579,-259,-12,-259,-6
85,14.6,3,392,-72,237,-72,118.5
86,14.76,242,627,-307,-2,-307,-1
88,15.02,240,496,-176,0,-176,0
89,15.17,5,318,2,235,2,117.5
90,15.31,187,490,-170,53,-170,26.5
91,15.49,132,632,-312,108,-312,54
92,15.71,132,635,-315,108,-315,54
93,15.87,10,275,45,230,45,115
94,16.05,225,510,-190,15,-190,7.5
